year,symbol,fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedEPS,Sector,Industry,futureEPS
2009,AMGN,2009-12-31,39629000000,18932000000.0,2884000000.0,13442000000.0,2220000000.0,2109000000.0,20697000000.0,5738000000.0,4638000000.0,13902000000.0,2567000000.0,11335000000.0,450000000.0,,10558000000.0,1161000000.0,1057000000.0,16962000000.0,3873000000.0,574000000.0,,,,13089000000.0,,10601000000.0,,10601000000.0,10601000000.0,3299000000.0,2488000000.0,22667000000.0,,-4322000000.0,26944000000.0,995000000.0,12260000000,14642000000,2382000000,2091000000.0,5506000000,3820000000.0,2864000000.0,7350000000,,-578000000.0,,578000000.0,,276000000.0,624000000.0,294000000.0,5204000000,599000000,578000000.0,4605000000.0,4533000000.0,5506000000,6076000000.0,4605000000,4.91,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",8.7
2009,AMT,2009-12-31,8519931000,655096000.0,247293000.0,257069000.0,,67949000.0,7861312000.0,3169623000.0,2451459000.0,3845163000.0,1594625000.0,2250538000.0,,,9776000.0,92791000.0,651864000.0,5201806000.0,391244000.0,,,70521000.0,70521000.0,4803299000.0,,4211581000.0,70521000.0,4141060000.0,4211581000.0,23538000.0,669502000.0,3315082000.0,2961177000.0,-2109532000.0,4797000.0,401596984.0,2506468000,3124537000,618069000,416375000.0,672258000,201694000.0,,497308000,1722000.0,-249803000.0,,249803000.0,1650226000.0,1294000.0,258900000.0,414619000.0,429160000,182565000,267997000.0,238416000.0,253977000.0,678963000,1102809000.0,246595000,0.6,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2.01
2009,AMZN,2009-12-31,13813000000,9797000000.0,3444000000.0,6366000000.0,2171000000.0,988000000.0,4016000000.0,1290000000.0,625000000.0,1801000000.0,567000000.0,1234000000.0,,,2922000000.0,272000000.0,1474000000.0,8556000000.0,7364000000.0,5605000000.0,,,,1192000000.0,,109000000.0,,109000000.0,252000000.0,1759000000.0,1192000000.0,5257000000.0,600000000.0,172000000.0,5000000.0,444000000.0,5531000000,24479000000,20364000000,18978000000.0,1129000000,1008000000.0,1240000000.0,4402000000,37000000.0,-34000000.0,,34000000.0,5000000.0,29000000.0,,378000000.0,1155000000,253000000,34000000.0,902000000.0,969000000.0,1189000000,1567000000.0,902000000,0.1,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,-0.03
2009,AXP,2009-12-31,125145000000,15542000000.0,4064000000.0,15542000000.0,,,2782000000.0,2782000000.0,4130000000.0,3045000000.0,717000000.0,2328000000.0,24549000000.0,,11478000000.0,72656000000.0,,110739000000.0,2344000000.0,,,2344000000.0,2344000000.0,53034000000.0,,77300000000.0,,,79644000000.0,-10926000000.0,,12637000000.0,,3737000000.0,237000000.0,1192000000.0,-1425000000,24523000000,20635000000,22842000000.0,2841000000,5080000000.0,,7287000000,,3124000000.0,5331000000.0,2207000000.0,21212000000.0,,,1070000000.0,2834000000,704000000,2207000000.0,2137000000.0,3024000000.0,5041000000,6111000000.0,2130000000,1.54,FINANCE,FINANCE SERVICES,5.33
2009,BA,2009-12-31,62053000000,35275000000.0,9215000000.0,11223000000.0,19677000000.0,5785000000.0,21312000000.0,8784000000.0,12795000000.0,7196000000.0,2877000000.0,4319000000.0,3038000000.0,1030000000.0,2008000000.0,368000000.0,1224000000.0,59828000000.0,32883000000.0,7096000000.0,,707000000.0,24000000.0,26945000000.0,,12217000000.0,669000000.0,,12924000000.0,24898000000.0,537000000.0,2128000000.0,15911000000.0,22746000000.0,5061000000.0,1012261159.0,11741000000,68281000000,56540000000,56365000000.0,2096000000,3364000000.0,6506000000.0,10252000000,,9000000.0,,339000000.0,-24000000.0,-26000000.0,1459000000.0,1678000000.0,1708000000,396000000,339000000.0,1335000000.0,2962000000.0,2096000000,3774000000.0,1312000000,1.83,MANUFACTURING,AIRCRAFT,8.45
2009,BAC,2009-12-31,2330671000000,121339000000.0,121339000000.0,121339000000.0,,,113840000000.0,15500000000.0,,98340000000.0,12026000000.0,86314000000.0,692449000000.0,,,,,2105497000000.0,69524000000.0,,,69524000000.0,91660000000.0,,,522877000000.0,,45451000000.0,614537000000.0,,,231444000000.0,,65079000000.0,,8650243926.0,52930000000,119643000000,66713000000,22352000000.0,6384000000,37381000000.0,,72630000000,,47109000000.0,77916000000.0,30807000000.0,72534000000.0,,2336000000.0,1978000000.0,4360000000,-1916000000,30807000000.0,6276000000.0,10453000000.0,35167000000,37145000000.0,6276000000,-0.09,FINANCE,NATIONAL COMMERCIAL BANKS,0.61
2009,BLK,2009-12-31,177994000000,6627000000.0,4708000000.0,4708000000.0,167000000.0,,171367000000.0,445000000.0,,17648000000.0,17648000000.0,12570000000.0,,,0.0,,,153392000000.0,5000000000.0,,,,2234000000.0,148392000000.0,,3191000000.0,,,5668000000.0,1921000000.0,,24329000000.0,-140000000.0,2436000000.0,1000000.0,140041614.0,2421000000,4700000000,2279000000,2279000000.0,1278000000,2676000000.0,0.0,1121000000,,,,68000000.0,,,,147000000.0,1272000000,375000000,,,,1320000000,1467000000.0,875000000,7.05,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",19.35
2009,BMY,2009-12-31,31008000000,13958000000.0,7683000000.0,8514000000.0,1413000000.0,3164000000.0,17050000000.0,5055000000.0,3840000000.0,8083000000.0,2865000000.0,5218000000.0,186000000.0,1369000000.0,831000000.0,611000000.0,907000000.0,16223000000.0,6313000000.0,1711000000.0,68000000.0,231000000.0,231000000.0,9910000000.0,,6130000000.0,,6130000000.0,6361000000.0,4134000000.0,422000000.0,14843000000.0,17364000000.0,30760000000.0,220000000.0,1978000000.0,13668000000,18808000000,9222000000,5140000000.0,-3620000000,3946000000.0,3647000000.0,7729000000,54000000.0,-184000000.0,,184000000.0,-15000000.0,381000000.0,469000000.0,-170000000.0,11794000000,1182000000,199000000.0,3239000000.0,10780000000.0,11978000000,11808000000.0,10612000000,2.03,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1.85
2009,BRK-B,2009-12-31,297119000000,30558000000.0,30558000000.0,30558000000.0,6147000000.0,,33972000000.0,,,24712000000.0,24712000000.0,33972000000.0,128765000000.0,,46589000000.0,-11286000000.0,,161334000000.0,7574000000.0,,,,,57134000000.0,,,,,37909000000.0,38323000000.0,,131102000000.0,,86227000000.0,8000000.0,1551738.0,112493000000,112493000000,37203000000,61386000000.0,11158000000,701000000.0,,-2923000000,,,,1992000000.0,28882000000.0,,3127000000.0,3127000000.0,11593000000,3538000000,,8441000000.0,21784000000.0,11158000000,16712000000.0,8055000000,4880.0,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",6.72
2009,BSX,2009-12-31,25177000000,4599000000.0,864000000.0,864000000.0,891000000.0,1375000000.0,21116000000.0,1722000000.0,1524000000.0,18603000000.0,6667000000.0,11936000000.0,56000000.0,8000000.0,,902000000.0,253000000.0,12876000000.0,3022000000.0,212000000.0,,3000000.0,3000000.0,9854000000.0,,5915000000.0,3000000.0,,5918000000.0,198000000.0,2064000000.0,12301000000.0,,-3757000000.0,15000000.0,1510600000.0,5612000000,7781000000,6299000000,2576000000.0,-894000000,2635000000.0,1035000000.0,6506000000,,-407000000.0,,407000000.0,-5000000.0,-7000000.0,323000000.0,834000000.0,-1308000000,-283000000,407000000.0,-1025000000.0,-1025000000.0,-894000000,-67000000.0,-1025000000,0.5,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0.83
